Source_File,Scan_DPI,Leaf_Hash_ID,Area_Pixels,Perimeter_Pixels,Leaf_Length_Pixels,Leaf_Width_Pixels,Petiole_Length_Pixels,CoM_to_Petiole_End_Pixels,Area_cm2,Perimeter_cm,Leaf_Length_cm,Leaf_Width_cm,Petiole_Length_cm,CoM_to_Petiole_End_cm,Length_Width_Ratio,Pixel_Edge_Area_Ratio,Physical_Edge_Area_Ratio_cm1,Degree_of_Lobing
img002.tif,1200,B720B448,20038547,28394,7702,5202,0.0,0.0,89.7783,60.1016,16.3038,11.0118,0.0,0.0,1.480572,0.00141699,0.6694,0.248288
img002.tif,1200,9BFE5938,16637778,21519,7108,4091,0.0,0.0,74.5419,45.5504,15.0458,8.6601,0.0,0.0,1.737371,0.00129343,0.6111,0.141063
img002.tif,1200,1A97299D,15975232,24860,7053,4391,0.0,0.0,71.5735,52.6206,14.9293,9.2947,0.0,0.0,1.60622,0.00155617,0.7352,0.214463
img002.tif,1200,0916E539,15731071,22052,7656,3553,0.0,0.0,70.4796,46.678,16.2069,7.5223,0.0,0.0,2.154515,0.00140185,0.6623,0.159952
img002.tif,1200,E4F018D7,15375588,18777,7087,3704,0.0,0.0,68.8869,39.7459,15.0025,7.8413,0.0,0.0,1.913278,0.00122126,0.577,0.096793
img002.tif,1200,F0CD68CE,14976037,22040,5340,4719,0.0,0.0,67.0968,46.6525,11.3036,9.99,0.0,0.0,1.131493,0.00147172,0.6953,0.197809
img002.tif,1200,C8D26D45,14860163,17938,6434,3804,0.0,0.0,66.5777,37.9704,13.6191,8.0538,0.0,0.0,1.691002,0.00120717,0.5703,0.09367
img002.tif,1200,47AA8634,12658847,18370,5590,3630,0.0,0.0,56.7152,38.8847,11.8333,7.6836,0.0,0.0,1.540072,0.00145122,0.6856,0.13624
img002.tif,1200,9E23FCE4,5675114,11474,4622,2022,0.0,0.0,25.4261,24.2875,9.7844,4.2802,0.0,0.0,2.285969,0.00202188,0.9552,0.05659
img003.tif,1200,2615D82E,18275009,23414,8202,3823,0.0,0.0,81.8771,49.56,17.3613,8.0936,0.0,0.0,2.145065,0.00128121,0.6053,0.150602
img003.tif,1200,22B5F3A9,16248635,25102,6590,4974,0.0,0.0,72.7984,53.1326,13.9495,10.5299,0.0,0.0,1.324746,0.00154487,0.7299,0.278251
img003.tif,1200,F0928725,13006802,19425,7004,3339,0.0,0.0,58.2741,41.1172,14.8251,7.0685,0.0,0.0,2.09736,0.00149348,0.7056,0.16538
img003.tif,1200,CBEDEF49,12956849,20884,5849,3895,0.0,0.0,58.0503,44.2063,12.382,8.2465,0.0,0.0,1.501494,0.00161188,0.7615,0.199473
img003.tif,1200,10C658CB,12108077,17572,5579,3463,0.0,0.0,54.2475,37.1959,11.8098,7.3309,0.0,0.0,1.610949,0.00145133,0.6857,0.130175
img003.tif,1200,9D8B0415,11328298,17319,5361,3363,0.0,0.0,50.7539,36.6605,11.3488,7.1186,0.0,0.0,1.594253,0.00152891,0.7223,0.133555
